gene	reactome
P18428	Cytokine Signaling in Immune system;Toll Like Receptor 4 (TLR4) Cascade;Transfer of LPS from LBP carrier to CD14;Innate Immune System;Immune System;Toll-like Receptor Cascades;Signaling by Interleukins;Regulation of TLR by endogenous ligand;Interleukin-4 and Interleukin-13 signaling
P18433	Developmental Biology;Cytokine Signaling in Immune system;Signal Transduction;Immune System;NCAM signaling for neurite out-growth;Axon guidance;RAF/MAP kinase cascade;MAPK family signaling cascades;MAPK1/MAPK3 signaling;FLT3 Signaling;Nervous system development
P18440	Metabolism;Phase II - Conjugation of compounds;Acetylation;Biological oxidations
P18462	ER-Phagosome pathway;Antigen processing-Cross presentation;Endosomal/Vacuolar pathway;Cytokine Signaling in Immune system;Adaptive Immune System;Immune System;Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell;Interferon gamma signaling;Interferon alpha/beta signaling;Interferon Signaling;Class I MHC mediated antigen processing & presentation;Antigen Presentation: Folding, assembly and peptide loading of class I MHC
P18463	ER-Phagosome pathway;Antigen processing-Cross presentation;Endosomal/Vacuolar pathway;Cytokine Signaling in Immune system;Adaptive Immune System;Immune System;Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell;Interferon gamma signaling;Interferon alpha/beta signaling;Interferon Signaling;Class I MHC mediated antigen processing & presentation;Antigen Presentation: Folding, assembly and peptide loading of class I MHC
P18464	ER-Phagosome pathway;Antigen processing-Cross presentation;Endosomal/Vacuolar pathway;Cytokine Signaling in Immune system;Adaptive Immune System;Immune System;Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell;Interferon gamma signaling;Interferon alpha/beta signaling;Interferon Signaling;Class I MHC mediated antigen processing & presentation;Antigen Presentation: Folding, assembly and peptide loading of class I MHC
P18465	ER-Phagosome pathway;Antigen processing-Cross presentation;Endosomal/Vacuolar pathway;Cytokine Signaling in Immune system;Adaptive Immune System;Immune System;Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell;Interferon gamma signaling;Interferon alpha/beta signaling;Interferon Signaling;Class I MHC mediated antigen processing & presentation;Antigen Presentation: Folding, assembly and peptide loading of class I MHC
P18505	Neurotransmitter receptors and postsynaptic signal transmission;Transmission across Chemical Synapses;Neuronal System;Signaling by ERBB4;Signal Transduction;Signaling by Receptor Tyrosine Kinases;GABA receptor activation
P18507	Neurotransmitter receptors and postsynaptic signal transmission;Transmission across Chemical Synapses;Neuronal System;Signaling by ERBB4;Signal Transduction;Signaling by Receptor Tyrosine Kinases;GABA receptor activation
P18509	Signal Transduction;Disease;Signaling by NTRKs;Activation of TRKA receptors;NGF-independant TRKA activation;Signaling by NTRK1 (TRKA);Signaling by GPCR;Class B/2 (Secretin family receptors);GPCR downstream signalling;G alpha (s) signalling events;Glucagon-type ligand receptors;GPCR ligand binding;Infectious disease;Signaling by Receptor Tyrosine Kinases;Leishmania infection;ADORA2B mediated anti-inflammatory cytokines production;Anti-inflammatory response favouring Leishmania parasite infection;Leishmania parasite growth and survival
P18510	Cytokine Signaling in Immune system;Immune System;Interleukin-1 family signaling;Signaling by Interleukins;Interleukin-10 signaling;Interleukin-1 signaling
P18545	Signal Transduction;Signaling by WNT;Visual phototransduction;Activation of the phototransduction cascade;The phototransduction cascade;Inactivation, recovery and regulation of the phototransduction cascade;Signaling by GPCR;Beta-catenin independent WNT signaling;GPCR downstream signalling;Ca2+ pathway;G alpha (i) signalling events
P18564	Extracellular matrix organization;Elastic fibre formation;Molecules associated with elastic fibres;Integrin cell surface interactions;ECM proteoglycans
P18577	Metabolism;Metabolism of carbohydrates;Blood group systems biosynthesis;Rhesus blood group biosynthesis
P18615	Formation of RNA Pol II elongation complex ;Formation of the Early Elongation Complex;HIV Life Cycle;Late Phase of HIV Life Cycle;HIV Infection;Disease;Formation of HIV elongation complex in the absence of HIV Tat;Formation of the HIV-1 Early Elongation Complex;HIV Transcription Elongation;Transcription of the HIV genome;Formation of HIV-1 elongation complex containing HIV-1 Tat;Pausing and recovery of Tat-mediated HIV elongation;Abortive elongation of HIV-1 transcript in the absence of Tat;Tat-mediated HIV elongation arrest and recovery;Tat-mediated elongation of the HIV-1 transcript;HIV elongation arrest and recovery;Pausing and recovery of HIV elongation;Generic Transcription Pathway;Transcriptional Regulation by TP53;Infectious disease;RNA Polymerase II Pre-transcription Events;TP53 Regulates Transcription of DNA Repair Genes;RNA Polymerase II Transcription;Gene expression (Transcription);RNA Polymerase II Transcription Elongation
P18621	Developmental Biology;Metabolism;L13a-mediated translational silencing of Ceruloplasmin expression;Eukaryotic Translation Elongation;Peptide chain elongation;Disease;Influenza Infection;Influenza Viral RNA Transcription and Replication;SRP-dependent cotranslational protein targeting to membrane;Viral mRNA Translation;Cellular responses to stress;Selenoamino acid metabolism;Selenocysteine synthesis;Signaling by ROBO receptors;Metabolism of proteins;Axon guidance;Infectious disease;Major pathway of rRNA processing in the nucleolus and cytosol;Metabolism of amino acids and derivatives;rRNA processing;Eukaryotic Translation Initiation;Formation of a pool of free 40S subunits;GTP hydrolysis and joining of the 60S ribosomal subunit;Cap-dependent Translation Initiation;Eukaryotic Translation Termination;Translation;rRNA processing in the nucleus and cytosol;Metabolism of RNA;Cellular responses to external stimuli;Regulation of expression of SLITs and ROBOs;Nonsense-Mediated Decay (NMD);Response of EIF2AK4 (GCN2) to amino acid deficiency;Nervous system development;Nonsense Mediated Decay (NMD) independent of the Exon Junction Complex (EJC);Nonsense Mediated Decay (NMD) enhanced by the Exon Junction Complex (EJC)
P18627	Adaptive Immune System;Immune System;MHC class II antigen presentation
P18640	Disease;Neurotoxicity of clostridium toxins;Toxicity of botulinum toxin type C (BoNT/C);Uptake and actions of bacterial toxins;Infectious disease
P18669	Metabolism;Innate Immune System;Immune System;Neutrophil degranulation;Glycolysis;Gluconeogenesis;Glucose metabolism;Metabolism of carbohydrates
P18754	HIV Life Cycle;Late Phase of HIV Life Cycle;HIV Infection;Host Interactions of HIV factors;Cell Cycle;Disease;Rev-mediated nuclear export of HIV RNA;Interactions of Rev with host cellular proteins;Nuclear import of Rev protein;Mitotic Metaphase and Anaphase;Nuclear Envelope (NE) Reassembly;Infectious disease;Mitotic Anaphase;M Phase;Cell Cycle, Mitotic;Postmitotic nuclear pore complex (NPC) reformation
P18799	Innate Immune System;Immune System;Dectin-2 family;C-type lectin receptors (CLRs)
P18825	Hemostasis;Metabolism;Signal Transduction;Integration of energy metabolism;Signaling by GPCR;Class A/1 (Rhodopsin-like receptors);Amine ligand-binding receptors;GPCR downstream signalling;Adrenoceptors;Adrenaline signalling through Alpha-2 adrenergic receptor;Metabolism of proteins;Adrenaline,noradrenaline inhibits insulin secretion;G alpha (i) signalling events;G alpha (z) signalling events;Regulation of insulin secretion;GPCR ligand binding;Surfactant metabolism;Platelet activation, signaling and aggregation;Platelet Aggregation (Plug Formation)
P18827	Hemostasis;Cytokine Signaling in Immune system;Metabolism;Extracellular matrix organization;Signal Transduction;Glycosaminoglycan metabolism;Heparan sulfate/heparin (HS-GAG) metabolism;Disease;Immune System;Chondroitin sulfate/dermatan sulfate metabolism;Metabolism of vitamins and cofactors;A tetrasaccharide linker sequence is required for GAG synthesis;HS-GAG biosynthesis;HS-GAG degradation;Cell surface interactions at the vascular wall;Visual phototransduction;Syndecan interactions;Non-integrin membrane-ECM interactions;Diseases associated with glycosaminoglycan metabolism;Defective B4GALT7 causes EDS, progeroid type;Defective B3GAT3 causes JDSSDHD;Defective EXT2 causes exostoses 2;Defective EXT1 causes exostoses 1, TRPS2 and CHDS;Signaling by GPCR;Diseases of glycosylation;GPCR downstream signalling;G alpha (i) signalling events;Defective B3GALT6 causes EDSP2 and SEMDJL1;Signaling by Interleukins;Other interleukin signaling;Diseases of metabolism;Metabolism of fat-soluble vitamins;Metabolism of carbohydrates;Retinoid metabolism and transport
P18846	Cytokine Signaling in Immune system;Signal Transduction;Toll Like Receptor 4 (TLR4) Cascade;MyD88:MAL(TIRAP) cascade initiated on plasma membrane;MyD88-independent TLR4 cascade ;Signaling by NTRKs;Toll Like Receptor 9 (TLR9) Cascade;Toll Like Receptor 10 (TLR10) Cascade;Toll Like Receptor 3 (TLR3) Cascade;Toll Like Receptor 5 (TLR5) Cascade;Toll Like Receptor TLR1:TLR2 Cascade;Toll Like Receptor 7/8 (TLR7/8) Cascade;Toll Like Receptor TLR6:TLR2 Cascade;Innate Immune System;Immune System;Toll-like Receptor Cascades;Toll Like Receptor 2 (TLR2) Cascade;Signaling by NTRK1 (TRKA);Nuclear Events (kinase and transcription factor activation);CREB phosphorylation;Interleukin-17 signaling;Signaling by Interleukins;MAPK targets/ Nuclear events mediated by MAP kinases;MAP kinase activation;Signaling by Receptor Tyrosine Kinases;NGF-stimulated transcription;TRIF(TICAM1)-mediated TLR4 signaling ;TRAF6 mediated induction of NFkB and MAP kinases upon TLR7/8 or 9 activation;MyD88 dependent cascade initiated on endosome;MyD88 cascade initiated on plasma membrane
P18847	Cellular responses to stress;ATF4 activates genes in response to endoplasmic reticulum  stress;PERK regulates gene expression;Unfolded Protein Response (UPR);Metabolism of proteins;Cellular responses to external stimuli;Response of EIF2AK4 (GCN2) to amino acid deficiency;Response of EIF2AK1 (HRI) to heme deficiency
P18848	Cellular responses to stress;ATF4 activates genes in response to endoplasmic reticulum  stress;ATF6 (ATF6-alpha) activates chaperones;PERK regulates gene expression;Unfolded Protein Response (UPR);ATF6 (ATF6-alpha) activates chaperone genes;Metabolism of proteins;Cellular responses to external stimuli;Response of EIF2AK4 (GCN2) to amino acid deficiency;Response of EIF2AK1 (HRI) to heme deficiency
P18850	ATF4 activates genes in response to endoplasmic reticulum  stress;ATF6 (ATF6-alpha) activates chaperones;PERK regulates gene expression;Unfolded Protein Response (UPR);ATF6 (ATF6-alpha) activates chaperone genes;Metabolism of proteins
P18858	POLB-Dependent Long Patch Base Excision Repair;Resolution of AP sites via the multiple-nucleotide patch replacement pathway;Telomere Maintenance;HIV Life Cycle;Early Phase of HIV Life Cycle;HIV Infection;Cell Cycle;Disease;Processive synthesis on the C-strand of the telomere;Telomere C-strand (Lagging Strand) Synthesis;Extension of Telomeres;Mismatch Repair;Mismatch repair (MMR) directed by MSH2:MSH6 (MutSalpha);Mismatch repair (MMR) directed by MSH2:MSH3 (MutSbeta);PCNA-Dependent Long Patch Base Excision Repair;Infectious disease;Gap-filling DNA repair synthesis and ligation in GG-NER;Nucleotide Excision Repair;Global Genome Nucleotide Excision Repair (GG-NER);Transcription-Coupled Nucleotide Excision Repair (TC-NER);Gap-filling DNA repair synthesis and ligation in TC-NER;Processive synthesis on the lagging strand;Lagging Strand Synthesis;DNA strand elongation;Synthesis of DNA;S Phase;Cell Cycle, Mitotic;DNA Replication;Base Excision Repair;Chromosome Maintenance;DNA Repair;Resolution of Abasic Sites (AP sites)
P18859	The citric acid (TCA) cycle and respiratory electron transport;Metabolism;Mitochondrial biogenesis;Respiratory electron transport, ATP synthesis by chemiosmotic coupling, and heat production by uncoupling proteins.;Formation of ATP by chemiosmotic coupling;Organelle biogenesis and maintenance;Cristae formation
P18887	Resolution of AP sites via the single-nucleotide replacement pathway;APEX1-Independent Resolution of AP Sites via the Single Nucleotide Replacement Pathway;HDR through MMEJ (alt-NHEJ);DNA Double-Strand Break Repair;Homology Directed Repair;Gap-filling DNA repair synthesis and ligation in GG-NER;Nucleotide Excision Repair;Global Genome Nucleotide Excision Repair (GG-NER);Transcription-Coupled Nucleotide Excision Repair (TC-NER);Gap-filling DNA repair synthesis and ligation in TC-NER;Base Excision Repair;DNA Repair;Resolution of Abasic Sites (AP sites)
P19012	Developmental Biology;Keratinization;Formation of the cornified envelope
P19013	Developmental Biology;Keratinization;Formation of the cornified envelope
P19022	Developmental Biology;Cell-Cell communication;Regulation of Insulin-like Growth Factor (IGF) transport and uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs);Metabolism of proteins;Adherens junctions interactions;Cell-cell junction organization;Cell junction organization;Myogenesis;Post-translational protein modification;Post-translational protein phosphorylation
P19086	Opioid Signalling;G-protein mediated events;PLC beta mediated events;Signal Transduction;Disease;G-protein activation;Signaling by GPCR;GPCR downstream signalling;Chaperonin-mediated protein folding;Protein folding;Metabolism of proteins;G alpha (s) signalling events;G alpha (i) signalling events;G alpha (z) signalling events;Infectious disease;Cooperation of PDCL (PhLP1) and TRiC/CCT in G-protein beta folding;Leishmania infection;ADORA2B mediated anti-inflammatory cytokines production;Anti-inflammatory response favouring Leishmania parasite infection;Leishmania parasite growth and survival
P19087	Opioid Signalling;G-protein mediated events;PLC beta mediated events;Signal Transduction;Signaling by WNT;G-protein activation;Signaling by GPCR;Beta-catenin independent WNT signaling;GPCR downstream signalling;Chaperonin-mediated protein folding;Protein folding;Metabolism of proteins;Ca2+ pathway;G alpha (i) signalling events;Cooperation of PDCL (PhLP1) and TRiC/CCT in G-protein beta folding
P19099	Metabolism;Disease;Mineralocorticoid biosynthesis;Glucocorticoid biosynthesis;Metabolism of steroid hormones;Biological oxidations;Cytochrome P450 - arranged by substrate type;Phase I - Functionalization of compounds;Endogenous sterols;Metabolism of lipids;Defective CYP11B2 causes Corticosterone methyloxidase 1 deficiency (CMO-1 deficiency);Metabolic disorders of biological oxidation enzymes;Diseases of metabolism;Metabolism of steroids
P19105	Developmental Biology;EPH-Ephrin signaling;Ephrin signaling;Muscle contraction;Axon guidance;Smooth Muscle Contraction;Nervous system development
P19113	Metabolism;Histidine catabolism;Metabolism of amino acids and derivatives
P19174	Hemostasis;ISG15 antiviral mechanism;Antiviral mechanism by IFN-stimulated genes;Signaling by FGFR in disease;Signaling by ERBB2;Signaling by ERBB2 in Cancer;Constitutive Signaling by Ligand-Responsive EGFR Cancer Variants;PLCG1 events in ERBB2 signaling;Developmental Biology;Cytokine Signaling in Immune system;Adaptive Immune System;Metabolism;Inositol phosphate metabolism;DAG and IP3 signaling;Signal Transduction;Disease;Signaling by EGFR in Cancer;Signaling by NTRKs;PLC-gamma1 signalling;Innate Immune System;Immune System;Signaling by EGFR;Synthesis of IP3 and IP4 in the cytosol;Downstream signal transduction;Signaling by PDGF;Signaling by NTRK1 (TRKA);Signaling by FGFR;Signaling by VEGF;TCR signaling;Generation of second messenger molecules;Cell surface interactions at the vascular wall;Fcgamma receptor (FCGR) dependent phagocytosis;Role of phospholipids in phagocytosis;PECAM1 interactions;EGFR interacts with phospholipase C-gamma;DAP12 interactions;DAP12 signaling;Fc epsilon receptor (FCERI) signaling;FCERI mediated MAPK activation;FCERI mediated Ca+2 mobilization;Netrin-1 signaling;Role of second messengers in netrin-1 signaling;Axon guidance;VEGFA-VEGFR2 Pathway;VEGFR2 mediated cell proliferation;Constitutive Signaling by EGFRvIII;Signaling by EGFRvIII in Cancer;Signaling by Ligand-Responsive EGFR Variants in Cancer;Phospholipase C-mediated cascade: FGFR1;Phospholipase C-mediated cascade; FGFR2;Phospholipase C-mediated cascade; FGFR3;Phospholipase C-mediated cascade; FGFR4;Downstream signaling of activated FGFR1;Downstream signaling of activated FGFR2;Downstream signaling of activated FGFR3;Downstream signaling of activated FGFR4;Signaling by FGFR1;Signaling by FGFR2;Signaling by FGFR3;Signaling by FGFR4;Signaling by FGFR2 in disease;Signaling by FGFR4 in disease;Signaling by FGFR1 in disease;Signaling by FGFR3 in disease;Diseases of signal transduction by growth factor receptors and second messengers;Infectious disease;Signaling by FGFR3 point mutants in cancer;RET signaling;Signaling by NTRK2 (TRKB);Signaling by Erythropoietin;Intracellular signaling by second messengers;Signaling by Receptor Tyrosine Kinases;Activated NTRK2 signals through PLCG1;Erythropoietin activates Phospholipase C gamma (PLCG);Signaling by NTRK3 (TRKC);Activated NTRK3 signals through PLCG1;Interferon Signaling;Leishmania infection;Anti-inflammatory response favouring Leishmania parasite infection;FCGR3A-mediated IL10 synthesis;Leishmania parasite growth and survival;Signaling by ERBB2 KD Mutants;Signaling by ERBB2 ECD mutants;Signaling by ERBB2 TMD/JMD mutants;Nervous system development
P19214	Hemostasis;Cell surface interactions at the vascular wall
P19224	Metabolism;Phase II - Conjugation of compounds;Glucuronidation;Biological oxidations
P19235	Signal Transduction;Signaling by Erythropoietin;Erythropoietin activates Phosphoinositide-3-kinase (PI3K);Erythropoietin activates Phospholipase C gamma (PLCG);Erythropoietin activates STAT5;Erythropoietin activates RAS
P19237	Striated Muscle Contraction;Muscle contraction
P19256	Hemostasis;Innate Immune System;Immune System;Cell surface interactions at the vascular wall;Neutrophil degranulation
P19320	Cytokine Signaling in Immune system;Adaptive Immune System;Extracellular matrix organization;Immune System;Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell;Integrin cell surface interactions;Signaling by Interleukins;Interleukin-4 and Interleukin-13 signaling;Interferon gamma signaling;Interferon Signaling
P19321	Disease;Neurotoxicity of clostridium toxins;Toxicity of botulinum toxin type D (BoNT/D);Uptake and actions of bacterial toxins;Infectious disease
P19338	Major pathway of rRNA processing in the nucleolus and cytosol;rRNA processing;rRNA processing in the nucleus and cytosol;Metabolism of RNA
P19367	Metabolism;Disease;Defective HK1 causes hexokinase deficiency (HK deficiency);SLC transporter disorders;Disorders of transmembrane transporters;Glycolysis;Glucose metabolism;Metabolism of carbohydrates
P19387	Formation of RNA Pol II elongation complex ;Formation of the Early Elongation Complex;Signaling by FGFR in disease;Developmental Biology;Signal Transduction;HIV Life Cycle;Late Phase of HIV Life Cycle;HIV Infection;Disease;Formation of HIV elongation complex in the absence of HIV Tat;Formation of the HIV-1 Early Elongation Complex;RNA Pol II CTD phosphorylation and interaction with CE during HIV infection;HIV Transcription Initiation;RNA Polymerase II HIV Promoter Escape;HIV Transcription Elongation;Transcription of the HIV genome;Formation of HIV-1 elongation complex containing HIV-1 Tat;Pausing and recovery of Tat-mediated HIV elongation;Abortive elongation of HIV-1 transcript in the absence of Tat;Tat-mediated HIV elongation arrest and recovery;Tat-mediated elongation of the HIV-1 transcript;HIV elongation arrest and recovery;Pausing and recovery of HIV elongation;Influenza Infection;Influenza Viral RNA Transcription and Replication;Viral Messenger RNA Synthesis;FGFR2 mutant receptor activation;Signaling by FGFR;MicroRNA (miRNA) biogenesis;Gene Silencing by RNA;Generic Transcription Pathway;Transcriptional Regulation by TP53;Transcriptional regulation by small RNAs;PIWI-interacting RNA (piRNA) biogenesis;Activation of anterior HOX genes in hindbrain development during early embryogenesis;Activation of HOX genes during differentiation;Signaling by FGFR2;Signaling by FGFR2 in disease;Diseases of signal transduction by growth factor receptors and second messengers;Infectious disease;Nucleotide Excision Repair;RNA Polymerase II Pre-transcription Events;Formation of TC-NER Pre-Incision Complex;Transcription-Coupled Nucleotide Excision Repair (TC-NER);Dual incision in TC-NER;Gap-filling DNA repair synthesis and ligation in TC-NER;TP53 Regulates Transcription of DNA Repair Genes;FGFR2 alternative splicing;RNA polymerase II transcribes snRNA genes;mRNA Capping;mRNA Splicing - Major Pathway;mRNA Splicing - Minor Pathway;mRNA Splicing;Processing of Capped Intron-Containing Pre-mRNA;RNA Polymerase II Promoter Escape;RNA Polymerase II Transcription Pre-Initiation And Promoter Opening;RNA Polymerase II Transcription;DNA Repair;Gene expression (Transcription);RNA Polymerase II Transcription Initiation;RNA Polymerase II Transcription Elongation;RNA Polymerase II Transcription Initiation And Promoter Clearance;RNA Pol II CTD phosphorylation and interaction with CE;Signaling by FGFR2 IIIa TM;ESR-mediated signaling;Metabolism of RNA;Signaling by Nuclear Receptors;Signaling by Receptor Tyrosine Kinases;Estrogen-dependent gene expression
P19388	Formation of RNA Pol II elongation complex ;Formation of the Early Elongation Complex;Signaling by FGFR in disease;Developmental Biology;Signal Transduction;HIV Life Cycle;Late Phase of HIV Life Cycle;HIV Infection;Disease;Formation of HIV elongation complex in the absence of HIV Tat;Formation of the HIV-1 Early Elongation Complex;RNA Pol II CTD phosphorylation and interaction with CE during HIV infection;HIV Transcription Initiation;RNA Polymerase II HIV Promoter Escape;HIV Transcription Elongation;Transcription of the HIV genome;Formation of HIV-1 elongation complex containing HIV-1 Tat;Pausing and recovery of Tat-mediated HIV elongation;Abortive elongation of HIV-1 transcript in the absence of Tat;Tat-mediated HIV elongation arrest and recovery;Tat-mediated elongation of the HIV-1 transcript;HIV elongation arrest and recovery;Pausing and recovery of HIV elongation;Innate Immune System;Influenza Infection;Immune System;Influenza Viral RNA Transcription and Replication;Viral Messenger RNA Synthesis;Cytosolic sensors of pathogen-associated DNA ;FGFR2 mutant receptor activation;Signaling by FGFR;MicroRNA (miRNA) biogenesis;Gene Silencing by RNA;Epigenetic regulation of gene expression;Generic Transcription Pathway;Transcriptional Regulation by TP53;NoRC negatively regulates rRNA expression;Positive epigenetic regulation of rRNA expression;B-WICH complex positively regulates rRNA expression;Negative epigenetic regulation of rRNA expression;Transcriptional regulation by small RNAs;PIWI-interacting RNA (piRNA) biogenesis;Activation of anterior HOX genes in hindbrain development during early embryogenesis;Activation of HOX genes during differentiation;Signaling by FGFR2;Signaling by FGFR2 in disease;Diseases of signal transduction by growth factor receptors and second messengers;Infectious disease;Nucleotide Excision Repair;RNA Polymerase II Pre-transcription Events;Formation of TC-NER Pre-Incision Complex;Transcription-Coupled Nucleotide Excision Repair (TC-NER);Dual incision in TC-NER;Gap-filling DNA repair synthesis and ligation in TC-NER;TP53 Regulates Transcription of DNA Repair Genes;FGFR2 alternative splicing;RNA polymerase II transcribes snRNA genes;mRNA Capping;mRNA Splicing - Major Pathway;mRNA Splicing - Minor Pathway;mRNA Splicing;Processing of Capped Intron-Containing Pre-mRNA;RNA Polymerase I Transcription Initiation;RNA Polymerase I Promoter Escape;RNA Polymerase II Promoter Escape;RNA Polymerase II Transcription Pre-Initiation And Promoter Opening;RNA Polymerase III Chain Elongation;RNA Polymerase I Promoter Clearance;RNA Polymerase II Transcription;RNA Polymerase I Transcription Termination;RNA Polymerase I Transcription;DNA Repair;RNA Polymerase III Transcription Termination;RNA Polymerase III Transcription;Gene expression (Transcription);RNA Polymerase III Abortive And Retractive Initiation;RNA Polymerase II Transcription Initiation;RNA Polymerase II Transcription Elongation;RNA Polymerase II Transcription Initiation And Promoter Clearance;RNA Polymerase III Transcription Initiation;RNA Polymerase III Transcription Initiation From Type 1 Promoter;RNA Polymerase III Transcription Initiation From Type 2 Promoter;RNA Polymerase III Transcription Initiation From Type 3 Promoter;RNA Pol II CTD phosphorylation and interaction with CE;Signaling by FGFR2 IIIa TM;ESR-mediated signaling;Metabolism of RNA;Signaling by Nuclear Receptors;Signaling by Receptor Tyrosine Kinases;Estrogen-dependent gene expression
P19397	Innate Immune System;Immune System;Neutrophil degranulation
P19404	The citric acid (TCA) cycle and respiratory electron transport;Metabolism;Respiratory electron transport, ATP synthesis by chemiosmotic coupling, and heat production by uncoupling proteins.;Respiratory electron transport;Complex I biogenesis
P19419	Cytokine Signaling in Immune system;Signal Transduction;Disease;Toll Like Receptor 4 (TLR4) Cascade;MyD88:MAL(TIRAP) cascade initiated on plasma membrane;MyD88-independent TLR4 cascade ;Signaling by NTRKs;Toll Like Receptor 9 (TLR9) Cascade;Toll Like Receptor 10 (TLR10) Cascade;Toll Like Receptor 3 (TLR3) Cascade;Toll Like Receptor 5 (TLR5) Cascade;Toll Like Receptor TLR1:TLR2 Cascade;Toll Like Receptor 7/8 (TLR7/8) Cascade;Toll Like Receptor TLR6:TLR2 Cascade;Innate Immune System;Immune System;Toll-like Receptor Cascades;Toll Like Receptor 2 (TLR2) Cascade;Signaling by NTRK1 (TRKA);Nuclear Events (kinase and transcription factor activation);ERK/MAPK targets;Interleukin-17 signaling;Signaling by Interleukins;MAPK targets/ Nuclear events mediated by MAP kinases;MAP kinase activation;Infectious disease;ESR-mediated signaling;Signaling by Nuclear Receptors;Signaling by Receptor Tyrosine Kinases;Extra-nuclear estrogen signaling;NGF-stimulated transcription;TRIF(TICAM1)-mediated TLR4 signaling ;HCMV Infection;HCMV Early Events;Estrogen-dependent nuclear events downstream of ESR-membrane signaling;TRAF6 mediated induction of NFkB and MAP kinases upon TLR7/8 or 9 activation;MyD88 dependent cascade initiated on endosome;MyD88 cascade initiated on plasma membrane
P19429	Striated Muscle Contraction;Muscle contraction;Cardiac conduction;Ion homeostasis
P19438	Cytokine Signaling in Immune system;Signal Transduction;Immune System;Signaling by Interleukins;TNFR1-induced proapoptotic signaling;Regulation of TNFR1 signaling;TNFR1-induced NFkappaB signaling pathway;TNFR1-mediated ceramide production;TNFR2 non-canonical NF-kB pathway;TNFs bind their physiological receptors;Interleukin-10 signaling;Death Receptor Signalling;TNF signaling
P19440	Metabolism;Phase II - Conjugation of compounds;Glutathione conjugation;Disease;Glutathione synthesis and recycling;Biological oxidations;Synthesis of Leukotrienes (LT) and Eoxins (EX);Arachidonic acid metabolism;Aflatoxin activation and detoxification;Metabolism of lipids;Defective GGT1 causes Glutathionuria (GLUTH);Metabolic disorders of biological oxidation enzymes;Infectious disease;Diseases of metabolism;Fatty acid metabolism;Leishmania infection;Anti-inflammatory response favouring Leishmania parasite infection;Leishmania parasite growth and survival;LTC4-CYSLTR mediated IL4 production
P19447	Formation of RNA Pol II elongation complex ;Formation of the Early Elongation Complex;HIV Life Cycle;Late Phase of HIV Life Cycle;HIV Infection;Disease;Formation of HIV elongation complex in the absence of HIV Tat;Formation of the HIV-1 Early Elongation Complex;RNA Pol II CTD phosphorylation and interaction with CE during HIV infection;HIV Transcription Initiation;RNA Polymerase II HIV Promoter Escape;HIV Transcription Elongation;Transcription of the HIV genome;Formation of HIV-1 elongation complex containing HIV-1 Tat;Tat-mediated elongation of the HIV-1 transcript;Epigenetic regulation of gene expression;Generic Transcription Pathway;Transcriptional Regulation by TP53;NoRC negatively regulates rRNA expression;Negative epigenetic regulation of rRNA expression;Infectious disease;Formation of Incision Complex in GG-NER;Nucleotide Excision Repair;Global Genome Nucleotide Excision Repair (GG-NER);Dual Incision in GG-NER;RNA Polymerase II Pre-transcription Events;Formation of TC-NER Pre-Incision Complex;Transcription-Coupled Nucleotide Excision Repair (TC-NER);Dual incision in TC-NER;Gap-filling DNA repair synthesis and ligation in TC-NER;TP53 Regulates Transcription of DNA Repair Genes;mRNA Capping;RNA Polymerase I Transcription Initiation;RNA Polymerase I Promoter Escape;RNA Polymerase II Promoter Escape;RNA Polymerase II Transcription Pre-Initiation And Promoter Opening;RNA Polymerase I Promoter Clearance;RNA Polymerase II Transcription;RNA Polymerase I Transcription Termination;RNA Polymerase I Transcription;DNA Repair;Gene expression (Transcription);RNA Polymerase II Transcription Initiation;RNA Polymerase II Transcription Elongation;RNA Polymerase II Transcription Initiation And Promoter Clearance;RNA Pol II CTD phosphorylation and interaction with CE;Metabolism of RNA
P19474	Cytokine Signaling in Immune system;Adaptive Immune System;Innate Immune System;Immune System;STING mediated induction of host immune responses;Cytosolic sensors of pathogen-associated DNA ;Regulation of innate immune responses to cytosolic DNA;Interferon gamma signaling;Interferon Signaling;Antigen processing: Ubiquitination & Proteasome degradation;Class I MHC mediated antigen processing & presentation
P19525	ISG15 antiviral mechanism;Antiviral mechanism by IFN-stimulated genes;Cytokine Signaling in Immune system;Disease;Influenza Infection;Immune System;NS1 Mediated Effects on Host Pathways;Inhibition of PKR;Infectious disease;Interferon Signaling
P19526	Metabolism;Metabolism of carbohydrates;Blood group systems biosynthesis;ABO blood group biosynthesis
P19549	Innate Immune System;Immune System;Dectin-2 family;C-type lectin receptors (CLRs)
P19550	Innate Immune System;Immune System;Dectin-2 family;C-type lectin receptors (CLRs)
P19551	Innate Immune System;Immune System;Dectin-2 family;C-type lectin receptors (CLRs)
P19623	Metabolism;Metabolism of polyamines;Metabolism of amino acids and derivatives
